"text","class"
" sekedar masukan    memperhatikan  penjual  penjual  jujur   barang  sesuai pesanan ketidakpahaman  pembeli   merugikan seller ","Positive"
" check dm min  mksih ","Positive"
"  sy proses pesanannya silakan diproses ","Positive"
"    cekout order pembelian transaksi    transfer  mengunggah bukti transfer    notifikasi pembayaran sukses ","Positive"
"  tracking pesanan  terkirim mohon bantuannya ","Positive"
"  terima kasih dimohon bantuannya","Positive"
"  banget kyk gini kalo belanja dgn cc  beda kalo blnja  lgsg otomatis ubah  cicilan   biaya tambahan ","Positive"
" tagihan sy  tokopedia   bayar full  aja boong toko penjualnya bagus ga  yg   sy komplen opsi batal ordernya manaa yaaa keburu uangku udah ditelen  penipunya ya ","Positive"
" pake gojek serasa pake jne berjalan  penjualnya bagus ga  yg   sy komplen opsi batal ordernya manaa yaaa keburu uangku udah ditelen  penipunya ya ","Positive"
"  bedanya  kiriman standar kalo   ","Positive"
" penjual  dimanjakan customer dilupakan ckckckkckckkk tokopediaxso tokopsuck perti   perubahaan cicilan ttpnya mohon jgn dipersulit   penipunya ya ","Positive"
"  invoice mohon bantuannya","Positive"
" mohon bantuannya  order  tokopedia   pagi pengiriman lwt grab express    jam barang blm  driver dr pagi tdk dpat  hubungi mohon   refund  sdh tlp grab jg ","Positive"
"selamat malam mohon   direspon e mail   id  problem invoice  saldo tokopedia   seller  kunjung masuk  mohon kerjasamanya ","Positive"
"   fitur nabung emas kemana ya dicari  app ngga ketemu","Positive"
"       lagsung  yg coba ketik  ttap   min  batalkan kuga ga  tolong d bntu","Positive"
" mohon bantuan   ongkir  masuk  driver grab nya tolong cepat  responnya ","Positive"
" barang   pickup status  diantar mohon dibantu ","Positive"
"  dana   masuk     terima  saldo  ","Positive"
" tolong admin driver   dihubungi    ambil daritadi mohon bantuan carikan driver pengganti terimakasih ","Positive"
" mohon dibantu pesanan booking driver  sejam   gk    driver mohon  dibantu thx ","Positive"
" iya kak  gak    butuhin   market place    merchant  kasian mreka  babat alas  sukses    kesampingkan ","Positive"
"   komplain packing   berbalik packing   pelapak    salahkan ","Positive"
"  kak  sy balas  ya dm nya mohon bantuannya makasih","Positive"
" mohon maaf  bantuan pembeli  komplain  barang blm   notif resi  tokopedia   cek  no resi online pos   delireved mohon bantuannya  dana    transfer  dompet tokopedia  tx ","Positive"
" min  toko   kupon tokopedia    digabung ya jam   bertransaksi toko  ready   kirim   yg udah lgs diproses yg msh molor aja masak nunggu  ","Positive"
" bank trf enaknya sih virtual  cepat   mandiri kdg virtual mandiri toped gak tersedia","Positive"
" ok thx","Positive"
" hola paket  yg pakai ons  banget nih nyangkut mohon  follow up  ekspedisi nya ","Positive"
" mohon cek dm min terima kasih","Positive"
"irwanyonthin tokopedia tokopediacare selamat siang bpk irwan utk menindaklanjuti keluhan bpk  sarankan mhn   update saldo e money    mandiri atm yg berdongle e money  mesin edc tks elis","Positive"
"  tnya min knpa  potongan kelebihan ongkir ya pdhal kurir  ga  yg dirubah thx","Positive"
" tolong banned akun shop lili yg  plagiat lapak  tnp ijin uda hr no respon ","Positive"
"   komplain packing   berbalik packing   pelapak    salahkan ","Positive"
" ok  dikirim proposal usulan kerja  nya semoga  dipertimbangkan terima kasih ya salam  pontianak","Positive"
" ya  cs mksh slmt siang ","Positive"
" slmt siang cs   saldo tokopedia  isi akun gojek grab ovo bca flazz emoney ecash  sy udah nyaman endap dana  akun   pembayrn   mksh cs ats responnya ","Positive"
" cs    sy daftar kredivo   akun   tokopedia apakh aman ","Positive"
"  cs  sdkt bingung  registrasi sy  suruh login  tokopedia","Positive"
" maslahany d tokped  lht ga ad plihan yg   refund  pdhl dsni  trlhit  barangny ga smpe drumah sayakalau emg udah smpe   ad tulisan info received by evelyn felicia  si penjual  suruh sy kerim barangny  ","Positive"
" selamat sore mohon bantuannya  cek dm   terimakasih ","Positive"
"  memberatkan banget biaya layanannya   nilai transaksi   biayanya mending pake metode bayar yg   gitu ","Positive"
" bayar    kak  transfer metode apapun gk  via bank ","Positive"
" selamat pagi   seller penjual   terima orderan same day via gojek  grab    bayar  cash  drivernya  pick up    ","Positive"
" kak mohon infonya kartu kredit bni syariah hasanah card  bsa dipake utk cicilan  tokopedia ","Positive"
" dear admin mohon bantuannya  mempending pengiriman  invoice karna customer  titik lokasi pengiriman berbeda  alamat   diinvoice  mohon bantuannya terimakasiih ","Positive"
"tokopediacare laksanarifky hai kak maaf  ketidaknyamanannya kintan sarankan kakak  clear cache data history  perangkat  kakak    coba  pastikan  koneksi internet kakak stabil ya trims","Positive"
" kak tolong cek pesanan sesuai perjanjian  seller  refund rb  cs  lupa  ajukan refund eh transaksi  selesai gimana ya ","Positive"
" selamat siang mohon  diverifikasi pembayaran  yg  transfer bank mandiri no invoice terima kasih ","Positive"
" iya  sdh masuk tp tolong ya service  konsumen diperhartikan   loh sy belanja online yg salah yg jual krn brg ga   ga sesuai spec trus pengembaliam dana     ga   rekening tabungan to  saldo toped aneh  pemaksaannya","Positive"
" min mohon bantuan  isi emoney  jam  blm berhasil detil  dm ya","Positive"
"  sdh  kali   driver yg spt     tokopedia gojek grab   menindaklanjuti   serius   terulang  krn kejadian spt  mengakibatkan pembeli kehilangan kepercayaan  penjual","Positive"
" pusat resolusi tdk  solusi yg berguna ","Positive"
" sy beli water terapy zidantd blue diterima   okt malam  sy    botol   isinya mohon bantuan tokopedia menindaklanjuti tk","Positive"
"  ya respon tindakan dri tokopedia konsumen hrus nahan   nunggu gini   n  g      enjual tdk merespon komplain   sdah  kali online     tdk  niat  u menyelesaikan transaksi dg ","Positive"
" penjual bilang stock ready   ready jasa pengiriman yg  tdk sesuai request komplain  direspon penjual wlopun  online  kali n tokopedia menganggapnya dg  aja prioritas   ","Positive"
" gk  orderan  driver gojek   pick up  konfirmasi selesai  tokopedia mohon diselidiki   tindak terima kasih","Positive"
"  baca dm   screenshot tertera transaksi berhasil  saldo   berkurang k barusan  cek saldo bca jg   pengembalian k  cek mutasi rekening    pengembalian dana k ","Positive"
" selamat sore","Positive"
" selamat siang   bisajuga ditarik ya saldo   mohon    membantu terimakasih","Positive"
" selamat siang kak  emailnya simacom com tolong diproses  ya makasih ","Positive"
" hallo min  nanya     etalase stok kosong ya      etalase  mohon bantuannya min ","Positive"
" siang min transaksi     klik pickup min karna no tlp pembeli kelebihan     nomer nya  dibanned  tolong bantu min ","Positive"
" selamat pagi mohon no telepon cs tokopedia   menemukan  tutup toko permanen  website   ganti kepemilikan toko tokonya  dipakai   salah buka ","Positive"
" dear toped mohon  dm thank you","Positive"
" min   ya tokopedia emas    pembelian ","Positive"
" setau  pusat resolusi mengajak pembeli  penjual utk berdiskusi  pembeli tdk  respons  penjual yg menang    penjual tdk respons  pembeli yg menang    respons  lsng direspons ","Positive"
"  berhasil min makasih ya ","Positive"
" min daftar pemenang kode promo dptagihan dimana yah lihatnya ","Positive"
"   beli emas ","Positive"
" terima kasih    coba   hp  berhasil  kendala    pembaruan  barusan sukses tampilan berbeda ","Positive"
" malam admin sy   transaksi top up emoney  tokped keterangannya berhasil  sy cek saldo emoney nya  bertambah gimana yak thank you uat  pdhl sdh melewati batas jam dr yg diinformasikan sblmnya ya toko nya  nipu  gmn makasih ","Positive"
" selamat malam mohon informasinya   salah konfirmasi terima    invoice  barang   terima  solusinya ya ","Positive"
"   cek    disuruh nunggu  x jam  udah   kebuang uang  melayang  ga  kejelasan kemana rimba nya    bener  system  tokopedia  pelayanan  menurun   kebanyakan promo yg ga ","Positive"
" ok  tunggu terima kasih  bantuan kakak milea","Positive"
" ok kakak nana terima kasih","Positive"
"  terimakasihpenjelasannya   tokopedia  situs jual beli online  yg         jalurnya  kirim hasil karya   menjual    admin tokopedia  berpendidikan   membedakan","Positive"
" sore min pengiriman j t  tokopedia tdk  no resi otomatis  marketplace sebelah kah  tokped  input resi manual  bayar ongkir  j t ya klo marketplace sbelah  bs  resi otomatis jd seller tdk  bayar obgkir  konter j t an","Positive"
"   jam  beli voucher kintan buffet boga group dg  k k k k    bayarkan lunas  berhasil diredeem kecuali yg k  tulisan nya pending pdhl  sy bayar  klikbca mohon dicek thx","Positive"
" kak  beli tiket pesawat pulang pergi asuransi nya  x  mohon infonya asuransi berlaku  pergi  pulang nya  berlaku  pulang pergi ","Positive"
" ok thx u min","Positive"
" terima kasih jawabannya  aplikasi android   opsi   ","Positive"
" halo  bayar kartu kredit  sampe  blm berhasil statusnya  dicoba sistem menit  nggak  yah ditunggu aja ","Positive"
" terima kasih   promo cashback  konsisten   harapan pengabditokped pengabdicashbackkreditnya november    ganti tanggalnya mohon info ya min    banget sy    tdk  komplain ","Positive"
"     tulis  surat pembaca surat kabar nasional  pembeli  tokopedia  dirugikan  ","Positive"
" ok thanks tolong    prioritas  ngefek banget klo pembeli lihat store nya  bintang   ","Positive"
" siang   pake fitur beli rd langganan     via tokocash  sepengetahuan  tokocash ga   top up  tolong kasih opsi  pembayaran  platform    mudah thanks   tdk  komplain ","Positive"
" oke min terima kasih ","Positive"
" ivr xviii x  transaksi nya blm berhasil ya ","Positive"
" halo  nomor telepon   dihubungi   perihal aktivasi paket roaming   baca faq nya        ","Positive"
"   transaksi dibatalkan pdhl  transfer ga  refund jg  tokocash ga   top up  tolong kasih opsi  pembayaran  platform    mudah thanks   tdk  komplain ","Positive"
" hallo   gimana  ya telp ga diangkat email ga dibales mention  twitter  ga dibales   top up  tolong kasih opsi  pembayaran  platform    mudah thanks   tdk  komplain ","Positive"
"    dm nya  tida membantu  ","Positive"
"  transaksi pembayaran kartu kredit  berhasil  ga sih  ga  respon dr ","Positive"
" pagi barusan sy cb topup emoney ribu  transaksi  berhasil tp saldo emoney sy blm bertambah tlg dibantu ivr xviii x sy   sy  cb   retail indomaret  atm mandiri utk cek saldo tp  tdk masuk ","Positive"
" ga  bro    barang yg  orang  beli  transaksi pcs   share link lapak nya  tau   asli  aspal","Positive"
" maaf no nya   ya knp dibatalkan knp  jd beda ya","Positive"
" sy pesan tiket pesawat  toped pembayran berhasil   info dr toped pembayaran tdk diterima solusinya dunk ","Positive"
"  aja   perubahan      coba  komputer laptop android berbeda  clear cache  data   perubahan","Positive"
" sbenrya  simpel min barang    pickup  driver tp driver klik    penjual  retry pickup lg   tolong  forward  gojek  biar   menegur oknum driver  ","Positive"
"   ya   pengiriman  kurir thanks ya min","Positive"
" sore invoice pembelian  flash sale     konfirmasi penjual mohon bantuan","Positive"
" la tokopediacare selamat malam   prihatin     alami  diinformasikan detail permasalahannya  dm ya terima kasih raisha asih  aja notifnya coba  applikasi   metode pembayarannya lost many time s t co yroiryslhps t co hcpdeqgot","Positive"
"nunggu flash sale oven kompor  or tp lom  y  teman  membantu kakak ya  php in  ya kubutuh kepastiaan coba  applikasi   metode pembayarannya lost many time s t co yroiryslhps t co hcpdeqgot","Positive"
" mohon bantu selesaikan trx no gk  driver  buyer paket  diterima thx ","Positive"
" udah sy klik  verifikasi kode via email  email  kunjung  tanggal  pickup tanggal sampe skrg ga sampe pastiaan coba  applikasi   metode pembayarannya lost many time s t co yroiryslhps t co hcpdeqgot","Positive"
" selamat malam min  dicek dmnya  membantu solusi komplain transaksi  terima kasih","Positive"
"  mas sy mggunakan kode promo toped   bantu ","Positive"
" selamat pagi mohon maaf  kendala   alami    tindaklanjuti silakan   cabang terdekat terima kasih yuna","Positive"
" halo kak   login    memiliki akses  nomor telepon    coba mengajukan perubahan nomor ponsel  foto buku rekening yg terdaftar       mendaftarkan rekening   tokopedia ","Positive"
" transaksi  ivr xviii x   selesai  ya   cepat  nya  udah bayar","Positive"
"   kirim dm terimakasih  ditanggapi  cepat","Positive"
" mohon bantuan  kemarin pagi request gojek       pickup","Positive"
"  ga  rekening   solusinya  tokocash ga bs top up  kemarin izin bi gak  ","Positive"
" min   penarikan udah  kemarin  susah sukses    masuk rekening   ya ","Positive"
" halo kak  dm terkait permasalahan toko ya mohon bantuannya ","Positive"
"   ","Positive"
"tolong bantuannya   butuh  besok  belanja  seller an papayukero    inbox gak  dibalas     tokped   kebijakan yg adil   seller   niat jualan ","Positive"
" malam min  saldo tokocash  kemana ya perubahan nomor hp   setujui  tokocashnya hilanh ","Positive"
" coba   troopersnya dipakein otak pakein logika  pemenuhan pesanan gimana   nilai pendapatan kotor produk  tingkat komplain  pemenuhan pesanan  gada penjualan   ","Positive"
" terimakasih  sukses  tokopedia","Positive"
"  kak terima kasih  informasinya ya ","Positive"
" iya  tertangani terima kasih bantuannya sadana tapiiiii debetnya  pake tokocash laah   habis deh saldo tokocash nya krn gak   top up trus piye ya kemarin jam pagi sdh bayakali   kudu piye ny time s t co yroiryslhps t co hcpdeqgot","Positive"
"  thank you min kaka ","Positive"
" min  bantuannya pelapak bilang stok ready n  ga ready pembayaran  berhasil pelapak   cancel ","Positive"
" mohon bamtuan utk transaksi sdh  lampirkan bukti resi fisiknya ","Positive"
" kalo   masukin resi  barang      klik terima barang ngga yah ","Positive"
" iya   cr  tgl tsb      potongan cicilannya gimana coba   cicilannya  berjalan","Positive"
"   status nya   tolong solusinyaa ","Positive"
"tim tokopediacare percaya saudara   palu donggala sulteng   bangkit  tersenyum berkat dukungan   yuk   salurkan kepedulianmu  berdonasi  link ","Positive"
"   ss ulang yg  lingkari  produk yg   topd ads  kolom pencarian  produk       logo top ads  gambar produk   ","Positive"
"  semoga cepat selesai kendalanya ","Positive"
" cashback sy  blm masuk ya  ivr xviii x  pembayaran sukses pake promo topedcc thx","Positive"
" ","Positive"
"dear  muncul notif    ya ","Positive"
" super duper payah  tokopedia udah  jam retry pickup ","Positive"
"  ovo point    pembayaran ya min  said memiliki  tenggang  ","Positive"
" ok   balas ya","Positive"
" saldo ovo    trx digital  topseller kah mohon jwbannya jgn  kasih link tautan","Positive"
" pagi kak say ovo koq blm muncul ya  akun tokopedia   aplikasi  terbaru ihan   gan   halaman   dikembalikan  halaman tokopedia  eroreror mulujaringan  bagus udh coba  hp  ime s t co yroiryslhps t co hcpdeqgot","Positive"
" bedanya ovo cash  ovo point gunanya    ","Positive"
" sy  berhasil  transaksi  tdk mendpt benefit promo  cashback senilai rp mohon bantuannya","Positive"
" oke kalo  saran   disediakan opsi utk menyembunyikan saldo ovo  halaman utama  utk yg mengakses tokopedia via website  laptop pc layarnya      sm orang    nyaman ","Positive"
" min   batalkan pesanan gmn  seller nya ngawur utk tau  tolong cek chat  seller sy udah  batalin pemesanan  jam cm  tunggu  ","Positive"
"  gak   gak  dipercaya    fungsi escrow nya","Positive"
" mohon  pencerahan transaksi   yg   ovo point  ","Positive"
" wait a second  fitur transfer dana      upgrade akun  ovo premier min    tolong  sejelas  ya min   menyesatkan     penarikan dana ovo    ya ","Positive"
"    diselesaikan sesuai keluhan  ","Positive"
" ga da menu  top up ovo jga","Positive"
"   langsung masuk  toko cash terima kasih semoga  integrasi   sukses   mempermudah opsi pembayaran e commerce","Positive"
"mohon direspon kak ","Positive"
"   balas mohon info    j t  tokopedia spertinya tdk   solusi sm skali","Positive"
" kode booking ekspedisi jne gunanya   yah min ","Positive"
" tolong dibantu  akun  aman ","Positive"
" saran donk  toped fitur  foto jgn  foto  bagus  sampe foto spt shopee  liat kondisi barang yg  dibeli     sudut angle ","Positive"
" sore sy ad top up saldo toped via m banking bca  va toped tp ko  masuk ya spt email notif d bwh   sdh d transfered tlg d f up tksh ","Positive"
" min  seller ngotot   refund via pusat bantuan  tiket pusat bantuan   ditutup berulang kali mohon bantuannya","Positive"
" ga asik bgt tokped skrg  tokocash mesti pindah  ovo pdhl suka blnj  tokped krn cashbacknha  lgs dibelanjain lg ","Positive"
" tdk sesuai krn tokoxa hri   tutup bsk ktxa mw dianterin sm driver grabxa mohon dihold dlu transaksi ","Positive"
" ovo points   top up topads gak ya ","Positive"
"     ovo point    alat pembayaran  tokopedia  tokocash  ","Positive"
" ok thank you pembelian nya gak  kalo langsung paket data   pulsa  thank you ","Positive"
" ok cek dm maaf","Positive"
" hay min   aja   perubahan cek dm  yaa masak  berlangganan gold merchant hasil pencarian    tolong  follow up  thanks","Positive"
" total belanja  rp   bayar dgn ovo saldo ovo    rp  sisa pembayarannya  dibayar  klikbca  mandiri virtual  saldo tokopedia  mohon infonya","Positive"
" mohon  link ulasan dipindah   link tambahan  area category yg terkait pembelian ribet nyarinya  masuknya  category inbox pliz","Positive"
" ok    pakai sms banking pembayaran via bni  pakai m banking kah thx","Positive"
" ok thx bantuannya ","Positive"
"tokopediacare dicdas halo kak dicky tia infokan  kakak  pembatalan   keberangkatan  kakak    pembatalan ya selengkapnya  pembatalan tiket pesawat  cek link  semoga membantu thanks ","Positive"
"    pembayaran transaksi   pakai i penjual   batas   konfirmasi pengiriman  maksimal jam   sabtu minggu   libur  pembayaran diverifikasi trims","Positive"
"    btw utk aktivasi ovo  email yg   tokped hrs   email  ovo   no hp  yg  ","Positive"
" ovopoint   belanja ga kaya tokocash dlu ","Positive"
" terima kasih semoga      ovo ya   payment gateway   bikin  aman   waswas ","Positive"
" oke karin terima kasih   informasinya","Positive"
"   enak mas udh terintegrasi  ovo  tokocash   cuman  pake  beli  toped  cashback masuk  ovo   bayar grab makan belanja dll udh  merchant yh nerima pembayaran pake ovo","Positive"
" bagus  sistem andaaaa ","Positive"
" berbeda ","Positive"
" malam min   komplain terkait pengisian emoney  ya  pas  cek   krl  saldo nya  masuk  tertera rp   pengisian siang   tokopedia  invoice nya ivr xviii xi ","Positive"
"       lambat  kerjanya ","Positive"
" tolong donk  pembelian temanku konfirmasi  jam batas  kak  bukti transfernya ","Positive"
" brati cashback tokped skg jd ovopoint  ovopoint  ga bs  beli pulsa  listrik kalo tokocash   ovopoint ga  brati lbh ga enak donk ","Positive"
" selamat malam mohon cek dm","Positive"
" okay","Positive"
" sy udah komplain berkali  yg paketnya udah ditangan buyer  status  gak berubah resi gak valid gimana   yg bayar orderan  toped approve donk resinya n bayar sy jt ya ","Positive"
" paketnya udah dikirimkan seller dropship dgn j t reg jb sdgkan sy udah terlanjur batalin orderannya tolong donk orderannya dinyalakan ulang urgent nih  orderannya harganya  jt thx ","Positive"
" mohon cek dm admin","Positive"
"   tokopedia terkesan alergi dgn ya utk pembayaran produk digital gak  via e cash  transfer manual  bank mandiri","Positive"
"   membantu ","Positive"
"    laksanakan semoga cepat solusinya","Positive"
" tf  via rek bni  berhasil  slipnya   blum diverifikasi ","Positive"
"  penjual  pet shop dihalaman toko   pilihan go send same day  grab same day pembeli   pilihan nya  gak  dipake     kota bandung   ","Positive"
" sdh bersih chace ga  ","Positive"
" min penjual mengajukan  banding  sdg menunggu respon admin tp blm ad respon admin smp skrg","Positive"
" toped udah super  bro skrg tdk  pembeli  penjual  kebijakan  ganti tokocash  ovo sdh final  kecewa jg   gimana  coba ","Positive"
" gak nyaman belanja  tokopoint wajib ganti   malam gak   transaksi neh ovo pindah kumpulin point ","Positive"
"   checkout byr pake karru kredit visa itk yg  kalinta    daoat otp spt  pembayaran   khawatie gk aman mohon info yah","Positive"
"    pembayaran top up e money    update saldo   masuk mohon bantuan nya tolong respon  cepat","Positive"
"   balas mohon  cek thanks ","Positive"
" oke terima kasih  responnya   pos  pos security  perumahan  tinggal dikirim pagi  kurirnya","Positive"
" ngomong aja bisanya min     jumat sampe  kaga kelar   namanya terbaik  harinya hehehe kadang suka ngelucu","Positive"
"toko cash tokopedia berubah dialihkan  ovo cash yah min yah nggak seru  belanja  toped bang  belanja  nggak ovo  yah mpok belanja nggak colek ora opo ya ","Positive"
" ok thanks           ovo    suka pakai aplikasi begituan ","Positive"
" kak tolong banget dibales   udah transfer  mandiri tokped sesuai harga tertera   angka     konfirmasi    pesananku diproses rg tgl gak sampe tolong bgt min ","Positive"
"  drtd  pembayaran tp  diverifikasi mohon dibantu utk proses verifikasinya  penjual bs  proses penbelian  trma kasih","Positive"
" tolong  respon dm  solusinya  melegakan  disuruh nunggu  keburu harga tiketnya  yg tanggung selisih nya  ntar pembayaran   tokopedia  berhasil lho ","Positive"
" gimana status paket  driver tdk ad itikat  dihub tdk bs hub    tdk kalo spt   yg tanggung  ya ","Positive"
" no ivr xviii x tanggal okt wkt pmblian transaksi emoney pending dlm   sblm  berhasil   update  kartu tyata nominal top upnya nol yg hrsnya rp detailnya   discreen shot  ","Positive"
" iya   emailnya    memilih pengguna  opsi  menonaktifkan       ","Positive"
" tokocash ane knapa  ovo   cashbackan  berubahnya  jd saldo   points  gimana  d  ","Positive"
" susah  multiple orderan  item  alamat yg  apps   masukin   orderan     lanjutkan belanja  karna sdh  data orderan penerima pilihan jasa pengiriman biar  akumulasi cashback ongkir","Positive"
"  redem voucher gift tokopedia ko saldonya gak  masuk ya mohon bantuannya","Positive"
" oh oke min ditunggu   dpt majic jar  kompor maspion tungku ","Positive"
"  ya pesanan tiket kereta api   batalkan   transfer    sesuai mohon penjelasannya","Positive"
"  bayar pdam   dinyatakan berhasil       pdam sidoarjo statusnya  terbayar marketplace model    mengkhawatirkan transaksi  marketplace skrg","Positive"
"  ","Positive"
"halo    input resi krn  retur barang via grabexpress  pd aplikasi tertulis nomor resi  valid   sesuai  order id yg tertera  aplikasi grab  mohon bantuannya","Positive"
"pesanan   tanggal oktober       status transaksi  selesai dg alamat  berbeda  penerima    kenal  bantu cek gaxsfrWengan  bank terkait","Positive"
"  kendala    bayar   yg ngasih no rek kening beda  yg  tokopedia beda    kendala makannya  ditelpon disuruh bayar yg  wa no transaksi ","Positive"
" ok kak terima kasih ya ","Positive"
"   klik beli yg muncul gini mulu perasaan koneksi internet gw  aja deh dicobain pake wifi   ","Positive"
" min  aplikasi terbaru  kode booking pengiriman jnt    membayar   jnt  resi otomatis thanks","Positive"
"min mohon cek pm","Positive"
" samsung a pro android nougattoped terbaru versi sesuai playstoreokalisnata com","Positive"
"kecewa banget  tokopedia resi udh   track   lihat detail msih   bukti resi fisik  fisiknya udh hilang  gak sampek  komplain  orderan   aman uang  cair  ","Positive"
" ok kak kila makasi yak responnya a bahas  aja  nungguin cashback  tokopedia masuk tokopediacare tgif sesuai format     infokan alamatnya  hubungi   bantu diteruskan  tim ","Positive"
"    indah    kecuali    menghampiri  rumi sambut pagi   senyum terindah tercakep termanis  ya toppers semangat tokopediacarenaan data   manapun tokopediacareiteruskan  tim ","Positive"
"ngobrol  teman pacar sahabat    bahas  aja  nungguin cashback  tokopedia masuk tokopediacare tgif gerai retail terdekat cek edukasitoppers tokopediacare","Positive"
"raga muda semangat  membara mulaiajadulu   membangun bangsa tercinta berkarya  cita cita mulia selamat  sumpah pemuda oktober tokopediacare ","Positive"
" cek dm  mohon perbaki pusat resolusi   merubah opsi solusi ","Positive"
"  upload foto  aplikasi yg  tetep  ga  optimal crop nya tampilan jd  bagus masak hrs pake desktop  upload jualannya ","Positive"
" selamat pagi  tgl nov barang   diterima mohon bantu follow up terima kasih","Positive"
" visi misi tokped  nih mensejahterakan  mencelakakan  penjual kalo pasang harga  tokped jgn murah yg mahal  biar kalo kena kayak gini gak bikin  buntung marketplace ny  maju penjual ny  buntung hebatttt ","Positive"
" tampilan  toped sy  suka tp kyknya  peningkatan lg dlm  kecepatan d krn sy  loadingnya  loh lamaaaa bener servernya gmn gitu kali ya  ga  skrg hmm ","Positive"
" malam kak kak  nanya     order barang gt tp barang yg  ga sesuai  gimana ya  dpt tukar brg  refund ","Positive"
" danang mendingan   buroq aja ","Positive"
"  koq gitu pilih kasih  ya nya tokped   dipakai    jam  terimakasih  on bantuannya ya al   kelebihannya sedih al yak eixo fl edukasitoppers tokopediacare","Positive"
" min transaksi masuknya  sore langsung  pick up  same day service   driver nya ga kunjung  pembeli ga sabar mengajukan complain     lakukan ","Positive"
" oke terima kasih mas","Positive"
"  klu gitu udah  keren lgi  habis baca baca ovo points g      produk ","Positive"
"   komplain  invoice nomor sesuai email yg  terima  nama penerima  ika prihadiyan   komplain nama penerima  novi dirumah  dikomplek  tetangga   yg bernama novi","Positive"
" klik beli  muncul   ","Positive"
"  lom masuk ya maksimal nunggu   esok ya ","Positive"
" oke terima kasih ya kak hanna ","Positive"
"  terimakasih  informasinya ","Positive"
" selamat siang kak     penukaran poin   ","Positive"
"     bayar transaksi pakai kk   coba kk  berbeda ","Positive"
